t,date,version,fit_id,a,c,fallback_reason,rank_ic,pearson_ic,valid_stocks,correct_directions,active_directions,zero_predictions,zero_targets,positive_targets,negative_targets,mse
415,2025-09-17,V5,V5-2025-09-01-L0.1-H60,6.02503127123705e-05,0.0,unidentifiable_c,0.5371221389991345,0.5490616430819111,93,35,93,0,0,35,58,0.007453234336244587
416,2025-09-18,V5,V5-2025-09-01-L0.1-H60,6.02503127123705e-05,0.0,unidentifiable_c,0.4756348661633493,0.45547022652023494,93,32,93,0,0,32,61,0.006906782413518852
417,2025-09-19,V5,V5-2025-09-01-L0.1-H60,6.02503127123705e-05,0.0,unidentifiable_c,0.3130315418817701,0.4040809880583477,93,35,93,0,0,35,58,0.005331707489567812
418,2025-09-22,V5,V5-2025-09-01-L0.1-H60,6.02503127123705e-05,0.0,unidentifiable_c,0.5068783384560293,0.5176360046424091,93,41,93,0,0,41,52,0.0069165041067030366
419,2025-09-23,V5,V5-2025-09-01-L0.1-H60,6.02503127123705e-05,0.0,unidentifiable_c,0.3274971872447328,0.36455683016419105,92,34,92,0,0,34,58,0.006035454014358196
420,2025-09-24,V5,V5-2025-09-01-L0.1-H60,6.02503127123705e-05,0.0,unidentifiable_c,0.07095849452090686,0.2667793387983887,92,42,92,0,0,42,50,0.004726734256176957
421,2025-09-25,V5,V5-2025-09-01-L0.1-H60,6.02503127123705e-05,0.0,unidentifiable_c,0.21683645947320562,0.3704736475026601,92,37,92,0,0,37,55,0.00603935760095232
422,2025-09-26,V5,V5-2025-09-01-L0.1-H60,6.02503127123705e-05,0.0,unidentifiable_c,-0.09843872817224852,-0.06401337522173478,92,50,92,0,0,50,42,0.004130379352158961
423,2025-09-29,V5,V5-2025-09-01-L0.1-H60,6.02503127123705e-05,0.0,unidentifiable_c,-0.3740116825670823,-0.3535943504437844,92,49,92,0,0,49,43,0.003148207502205136
424,2025-09-30,V5,V5-2025-09-01-L0.1-H60,6.02503127123705e-05,0.0,unidentifiable_c,-0.3888126286890871,-0.3075709855196108,93,47,93,0,0,47,46,0.003772730909263819
425,2025-10-09,V5,V5-2025-10-09-L0.1-H60,0.0009079768276019429,0.007985270442574523,,-0.44040762734624445,-0.36635928971129406,93,32,93,0,0,46,47,0.0029392718221551606
426,2025-10-10,V5,V5-2025-10-09-L0.1-H60,0.0009079768276019429,0.007985270442574523,,-0.4818865447166601,-0.41205472300851353,93,34,93,0,0,51,42,0.003738045678741428
427,2025-10-13,V5,V5-2025-10-09-L0.1-H60,0.0009079768276019429,0.007985270442574523,,-0.1749127152278356,0.020922476789574363,93,58,93,0,0,30,63,0.003021214077324284
428,2025-10-14,V5,V5-2025-10-09-L0.1-H60,0.0009079768276019429,0.007985270442574523,,-0.2644149839251526,-0.10204877658563205,94,46,94,0,0,38,56,0.0025316198013694367
429,2025-10-15,V5,V5-2025-10-09-L0.1-H60,0.0009079768276019429,0.007985270442574523,,-0.4215222338619369,-0.3685662430180204,94,35,94,0,0,46,48,0.0021574574880450655
